Team,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,W_15,L_15,WIN%_15,OFFRTG,DEFRTG,NETRTG
Atlanta Hawks,58,28,30,0.483,2784.0,0.54,0.247,0.125,0.267,0.54,0.217,0.125,0.262,2021-22,16,11,5,0.688,117.5,112.1,5.4
Boston Celtics,60,34,26,0.567,2920.0,0.525,0.239,0.143,0.277,0.496,0.231,0.143,0.275,2021-22,16,12,4,0.75,114.7,98.2,16.4
Brooklyn Nets,59,31,28,0.525,2842.0,0.53,0.235,0.139,0.274,0.516,0.239,0.132,0.291,2021-22,17,4,13,0.235,111.0,117.3,-6.3
Charlotte Hornets,60,29,31,0.483,2915.0,0.531,0.233,0.13,0.268,0.54,0.247,0.15,0.293,2021-22,17,6,11,0.353,108.5,110.2,-1.7
Chicago Bulls,59,38,21,0.644,2837.0,0.547,0.243,0.131,0.248,0.533,0.237,0.134,0.26,2021-22,18,11,7,0.611,115.8,114.9,0.9
Cleveland Cavaliers,58,35,23,0.603,2784.0,0.535,0.245,0.153,0.279,0.507,0.209,0.143,0.279,2021-22,14,9,5,0.643,109.3,108.5,0.8
Dallas Mavericks,59,35,24,0.593,2847.0,0.529,0.241,0.13,0.258,0.517,0.237,0.141,0.264,2021-22,16,11,5,0.688,114.4,108.9,5.5
Denver Nuggets,58,33,25,0.569,2794.0,0.547,0.22,0.146,0.268,0.533,0.238,0.133,0.248,2021-22,17,11,6,0.647,116.9,113.1,3.7
Detroit Pistons,58,13,45,0.224,2794.0,0.484,0.246,0.147,0.27,0.548,0.277,0.153,0.29,2021-22,17,3,14,0.176,106.7,118.3,-11.6
Golden State Warriors,59,42,17,0.712,2842.0,0.55,0.235,0.153,0.271,0.503,0.256,0.152,0.266,2021-22,17,11,6,0.647,112.8,110.4,2.3
Houston Rockets,58,15,43,0.259,2789.0,0.528,0.291,0.168,0.273,0.557,0.26,0.138,0.285,2021-22,14,3,11,0.214,109.4,121.6,-12.3
Indiana Pacers,60,20,40,0.333,2910.0,0.523,0.237,0.145,0.306,0.538,0.26,0.132,0.267,2021-22,17,5,12,0.294,113.0,119.9,-6.8
LA Clippers,61,30,31,0.492,2938.0,0.526,0.219,0.143,0.251,0.511,0.21,0.142,0.292,2021-22,17,9,8,0.529,113.6,113.6,0.0
Los Angeles Lakers,58,27,31,0.466,2829.0,0.534,0.251,0.144,0.257,0.526,0.256,0.142,0.281,2021-22,15,6,9,0.4,110.1,110.8,-0.7
Memphis Grizzlies,60,41,19,0.683,2895.0,0.519,0.246,0.133,0.337,0.523,0.244,0.152,0.272,2021-22,15,11,4,0.733,117.6,110.1,7.5
Miami Heat,59,38,21,0.644,2867.0,0.538,0.242,0.153,0.295,0.521,0.266,0.157,0.265,2021-22,16,11,5,0.688,111.2,106.7,4.6
Milwaukee Bucks,60,36,24,0.6,2890.0,0.54,0.246,0.135,0.265,0.526,0.223,0.134,0.262,2021-22,15,9,6,0.6,116.5,115.2,1.3
Minnesota Timberwolves,59,31,28,0.525,2852.0,0.526,0.24,0.143,0.292,0.53,0.288,0.162,0.297,2021-22,17,11,6,0.647,118.0,114.2,3.8
New Orleans Pelicans,59,23,36,0.39,2842.0,0.509,0.256,0.147,0.296,0.541,0.248,0.137,0.258,2021-22,16,7,9,0.438,111.8,111.7,0.2
New York Knicks,59,25,34,0.424,2852.0,0.51,0.26,0.14,0.291,0.52,0.246,0.133,0.271,2021-22,16,3,13,0.188,107.4,113.2,-5.8
Oklahoma City Thunder,58,18,40,0.31,2799.0,0.483,0.216,0.136,0.258,0.518,0.213,0.136,0.275,2021-22,16,4,12,0.25,101.6,107.2,-5.6
Orlando Magic,60,13,47,0.217,2885.0,0.501,0.224,0.147,0.252,0.533,0.25,0.135,0.276,2021-22,16,5,11,0.313,105.5,112.8,-7.3
Philadelphia 76ers,58,35,23,0.603,2804.0,0.526,0.259,0.129,0.243,0.516,0.239,0.137,0.282,2021-22,16,10,6,0.625,111.6,111.3,0.3
Phoenix Suns,58,48,10,0.828,2789.0,0.544,0.225,0.129,0.267,0.504,0.237,0.147,0.27,2021-22,17,16,1,0.941,119.0,108.8,10.2
Portland Trail Blazers,59,25,34,0.424,2837.0,0.526,0.248,0.14,0.266,0.551,0.259,0.138,0.257,2021-22,17,8,9,0.471,107.6,110.8,-3.3
Sacramento Kings,60,22,38,0.367,2895.0,0.522,0.252,0.141,0.273,0.543,0.226,0.131,0.29,2021-22,15,4,11,0.267,110.3,118.6,-8.3
San Antonio Spurs,59,23,36,0.39,2847.0,0.526,0.2,0.125,0.278,0.528,0.217,0.138,0.293,2021-22,16,7,9,0.438,115.6,113.3,2.3
Toronto Raptors,57,32,25,0.561,2761.0,0.511,0.229,0.131,0.324,0.534,0.254,0.166,0.293,2021-22,17,11,6,0.647,113.7,110.2,3.5
Utah Jazz,58,36,22,0.621,2784.0,0.557,0.265,0.145,0.29,0.516,0.209,0.124,0.264,2021-22,16,8,8,0.5,114.7,109.8,4.9
Washington Wizards,58,27,31,0.466,2804.0,0.523,0.254,0.135,0.25,0.519,0.251,0.121,0.271,2021-22,15,5,10,0.333,109.2,114.0,-4.8
